is_hit,pred_prob,batter_name,game_date,game_season,batSide,pitcher_hand,batting_order,weather_condition,weather_temp,weight,height_in_inches,strikeZoneTop,strikeZoneBottom,last_season_ba
0,0.35,Player_035,2024-05-10,2024,R,L,3,Sunny,91.0,225.0,75.0,3.6,1.73,0.227
0,0.4235,Player_015,2023-04-27,2023,L,R,9,Sunny,92.0,202.0,70.0,3.67,1.54,0.264
0,0.3031,Player_017,2024-07-18,2024,R,R,6,Sunny,76.0,200.0,73.0,3.65,1.61,0.304
0,0.1641,Player_021,2024-08-23,2024,R,L,9,Sunny,86.0,177.0,77.0,3.39,1.78,
0,0.3941,Player_039,2024-09-15,2024,L,L,6,Drizzle,56.0,199.0,72.0,3.52,1.57,0.305
0,0.2087,Player_028,2024-09-06,2024,S,R,9,Sunny,79.0,223.0,75.0,3.46,1.71,0.315
0,0.3037,Player_026,2022-09-07,2022,R,R,5,Overcast,58.0,183.0,73.0,3.51,1.78,0.253
1,0.262,Player_012,2023-09-10,2023,R,R,8,Cloudy,72.0,197.0,75.0,3.61,1.74,0.233
0,0.2699,Player_019,2022-07-12,2022,L,R,1,Overcast,84.0,193.0,76.0,3.44,1.78,0.228
0,0.3335,Player_007,2022-08-26,2022,R,R,9,Overcast,57.0,205.0,73.0,3.49,1.78,0.233
0,0.2871,Player_015,2023-07-24,2023,L,L,1,Overcast,71.0,228.0,75.0,3.54,1.53,0.288
0,0.3159,Player_032,2024-04-24,2024,R,R,2,Cloudy,71.0,230.0,73.0,3.41,1.68,0.232
0,0.1929,Player_003,2024-04-04,2024,R,L,7,Sunny,64.0,199.0,72.0,3.54,1.63,0.315
0,0.2678,Player_006,2022-04-18,2022,R,R,3,Cloudy,76.0,212.0,76.0,3.36,1.7,0.286
1,0.2161,Player_023,2024-06-01,2024,L,L,1,Sunny,87.0,228.0,73.0,3.55,1.72,0.316
0,0.2561,Player_031,2022-06-29,2022,L,L,8,Sunny,94.0,230.0,70.0,3.36,1.57,
0,0.2717,Player_039,2022-07-24,2022,R,R,5,Overcast,91.0,214.0,72.0,3.61,1.74,0.24
1,0.4291,Player_023,2022-07-03,2022,L,R,5,Cloudy,93.0,183.0,75.0,3.38,1.62,0.237
0,0.2618,Player_026,2023-06-05,2023,R,R,3,Sunny,63.0,199.0,75.0,3.56,1.7,
0,0.1312,Player_011,2023-08-10,2023,R,R,7,Overcast,59.0,193.0,74.0,3.53,1.63,0.22
0,0.3777,Player_016,2022-09-03,2022,R,R,3,Sunny,62.0,219.0,73.0,3.47,1.6,0.308
0,0.3314,Player_012,2022-05-11,2022,L,R,6,Overcast,94.0,189.0,72.0,3.56,1.71,0.223
